Date,Sample,AZ addition time (min),Position,N1,N2,dNk,NEBD time,anaphase onset time,anaphase onset time - NEBD time
20231023,1,no Mps1i,0,46,46,0,can't tell,,#VALUE!
20231023,1,no Mps1i,2,46,46,0,can't tell,,#VALUE!
20231023,1,no Mps1i,3,46,46,0,9,18,9
20231023,1,no Mps1i,4,39,53,14,can't tell,,#VALUE!
20231023,1,no Mps1i,5,47,45,2,3,12,9
20231023,1,no Mps1i,6,45,47,2,can't tell,,#VALUE!
20231023,1,no Mps1i,7,46,46,0,-1,9,10
20231023,1,no Mps1i,8,45,47,2,-1,9,10
20231023,1,no Mps1i,9,46,46,0,2,15,13
20231023,2,no Mps1i,0,46,46,0,can't tell,5,#VALUE!
20231023,2,no Mps1i,1,46,46,0,7,21,14
20231023,2,no Mps1i,2,45,47,2,can't tell,,#VALUE!
20231023,2,no Mps1i,3,46,46,0,,8,8
20231023,2,no Mps1i,4,46,46,0,can't tell,,#VALUE!
20231023,2,no Mps1i,5,45,47,2,can't tell,6,#VALUE!
20231023,2,no Mps1i,8,46,46,0,can't tell,7,#VALUE!
20231023,2,no Mps1i,9,46,46,0,can't tell,4,#VALUE!
20231023,2,no Mps1i,10,46,46,0,1,10,9
20231023,2,no Mps1i,11,48,44,4,can't tell,,#VALUE!
20231023,2,no Mps1i,12,45,47,2,can't tell,6,#VALUE!
20231023,2,no Mps1i,13,46,46,0,2,10,8
20231023,2,no Mps1i,14,45,47,2,-1,8,9
20231023,2,no Mps1i,15,47,45,2,cant,,#VALUE!
20231023,3,no Mps1i,1,45,47,2,-1,8,9
20231023,3,no Mps1i,2,46,46,0,7,17,10
20231023,3,no Mps1i,3,45,47,2,can't tell,6,#VALUE!
20231023,3,no Mps1i,4,47,45,2,7,15,8
20231023,3,no Mps1i,6,46,46,0,can't tell,4,#VALUE!
20231023,3,no Mps1i,8,45,47,2,can't tell,,#VALUE!
20231023,3,no Mps1i,9,45,47,2,15,24,9
20231023,3,no Mps1i,11,46,46,0,can't tell,,#VALUE!
20231023,3,no Mps1i,12,46,46,0,10,21,11
20231023,3,no Mps1i,14,48,44,4,1,10,9
